MDA-MB-231 cells - No treatment [Sample 1]	MDA-MB-231 cells - only 5-ALA [Sample 2]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 3]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 4]	MDA-MB-231 cells - No treatment [Sample 5]	MDA-MB-231 cells - only 5-ALA [Sample 6]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 7]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 8]	MDA-MB-231 cells - No treatment [Sample 9]	MDA-MB-231 cells - only 5-ALA [Sample 10]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 11]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 12]	
7897728	225.1263	218.9104	215.3232	227.6465	243.2515	239.3747	246.7928	227.4283	229.9595	222.3823	253.9476	262.8284
7897737	327.3634	324.0477	301.0883	311.1714	354.6142	333.338	304.1447	337.7969	342.114	322.2759	310.0838	380.7905
7897745	837.2843	812.0698	939.8439	1000.1534	867.7653	888.856	939.5526	922.2114	842.2188	869.2056	914.2114	963.1263
7897753	167.1379	197.8024	164.3705	170.2033	183.1644	172.8555	177.0543	191.3699	185.5063	160.2114	185.6309	182.5488
7897774	729.2311	790.4446	923.4318	881.6877	668.257	767.4581	974.6158	841.5364	835.9802	749.053	1073.6406	839.0735
7897801	781.0598	893.5886	879.5758	638.1684	744.3238	744.267	943.3314	568.9616	533.1861	730.8538	653.0698	709.0338
7897803	1952.0219	1967.2172	2078.9312	2120.0452	2052.5195	2127.8792	2096.698	2176.8696	2086.211	2114.8193	2139.1387	2174.4485
7897824	937.9764	970.0497	1043.6339	966.189	939.9056	975.0076	1118.0378	899.423	917.741	979.286	1088.3802	974.4087
7897849	290.0996	239.0296	298.6188	279.6668	263.2751	300.8722	308.6351	293.5247	303.3794	280.486	286.4843	296.4334
7897860	226.1504	227.2699	218.4082	212.0859	208.3353	232.4521	219.2795	243.1977	243.5984	193.1835	236.1155	239.1707
7897877	248.3977	232.7573	293.7007	254.6464	255.3213	232.4701	272.6093	269.3262	272.6083	251.8555	293.1765	299.3242
