MDA-MB-231 cells - No treatment [Sample 1]	MDA-MB-231 cells - only 5-ALA [Sample 2]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 3]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 4]	MDA-MB-231 cells - No treatment [Sample 5]	MDA-MB-231 cells - only 5-ALA [Sample 6]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 7]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 8]	MDA-MB-231 cells - No treatment [Sample 9]	MDA-MB-231 cells - only 5-ALA [Sample 10]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 11]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 12]	
7898585	431.7421	437.9648	466.6652	428.9254	464.9941	396.7614	464.5811	485.2755	480.0226	459.3127	486.0135	519.0433
7898594	142.4387	138.3879	137.8566	126.4144	147.0875	148.7592	137.9385	144.0006	139.6955	134.2951	161.5051	143.4707
7898602	122.3211	117.67	129.7523	108.0367	112.1265	123.6918	94.486	105.5873	106.1894	104.1842	108.2027	107.0525
7898607	233.8007	224.718	227.3737	224.3191	215.9896	212.2147	212.4941	229.9687	234.7004	229.0714	197.7467	209.967
7898609	128.1654	131.3306	132.6314	121.903	127.8481	124.4536	110.9326	115.283	114.3059	125.08	120.12	119.5563
7898616	149.7237	140.3635	142.3836	126.7605	158.8501	147.7609	147.467	135.4719	157.5633	139.2629	167.315	171.4822
7898623	67.1298	61.593	58.2732	64.6844	73.9256	58.7018	63.7424	72.7858	66.8464	72.2627	63.2758	67.8544
7898627	94.7582	112.2493	107.1575	106.6166	108.763	108.428	113.5411	119.369	107.6568	102.633	117.6122	104.8567
7898653	481.1208	503.4645	465.3771	506.9785	544.3912	531.622	481.525	552.66	581.669	470.4372	546.7275	609.1502
7898655	2127.3403	1778.6697	2241.499	1977.3763	2094.5742	2098.0698	2315.7998	1924.1208	2118.7383	2030.9338	2233.2231	1892.1617
7898663	458.1322	404.8542	376.2961	542.3303	438.9573	440.7305	380.5989	466.452	463.9704	458.4871	376.5732	465.1419
7898673	366.6667	291.7569	360.5237	365.8226	445.2491	422.1795	411.5175	432.3312	371.8164	366.6755	384.161	404.5852
7898675	28.0726	30.1476	30.5391	31.2103	29.7146	30.4973	30.6192	28.9625	32.4212	29.8767	32.7321	31.321
7898677	724.2963	664.1591	764.5671	768.6119	737.0176	706.191	821.3877	805.8667	657.9257	650.0952	701.4674	681.6774
7898679	192.8334	203.0232	202.0776	189.9179	225.5101	213.8976	196.9079	221.5281	209.4452	202.8407	198.9657	211.6764
7898693	106.601	107.293	101.9146	95.2436	99.7482	113.2483	110.2186	115.7673	89.2586	88.794	110.1591	108.8348
7898707	180.3984	186.5233	182.0933	170.0567	188.6196	182.459	190.8001	179.8731	179.9731	185.9256	209.7889	197.7413
7898713	181.2918	197.8395	178.4852	177.4684	194.5178	201.0096	179.5941	204.7547	197.8713	160.4368	187.8176	191.5278
7898721	96.3482	81.8533	73.7893	57.8968	58.0618	90.4183	58.6868	56.5717	78.187	87.4142	67.0368	73.6552
7898723	67.391	56.4792	62.1319	68.7505	67.3538	67.9093	69.7992	63.4782	75.8114	69.4826	72.9524	68.1247
7898725	148.1537	187.3361	158.0577	158.7157	151.6836	139.3406	176.8217	174.1165	155.2422	147.5678	158.6205	163.9836
7898732	58.5777	46.4581	56.9048	38.3554	42.1565	59.0652	40.0856	44.9718	52.6146	49.631	43.4378	47.234
7898734	34.7905	32.1913	34.8278	35.3652	33.368	33.8619	36.1009	33.0972	35.3798	36.2761	36.8124	35.6277
7898736	229.2459	227.1747	240.9524	231.2321	241.3978	199.4939	239.1169	230.0137	205.4745	217.1214	238.8487	221.9515
7898739	326.3397	310.4963	321.6352	308.846	287.9068	305.8495	290.7118	304.9507	308.3746	254.0056	286.6784	310.5555
7898750	448.4414	455.1399	417.6802	431.4045	454.6261	491.3323	419.5356	394.2447	486.007	472.6255	446.8157	410.8814
7898773	159.9941	159.6263	152.1744	160.9798	163.6516	162.1878	169.596	170.6489	171.6042	168.3942	168.8463	182.4091
7898793	61.6165	68.3792	64.2896	64.7114	69.2914	64.39	67.1799	72.9679	69.149	73.0971	66.898	80.3676
7898799	108.8088	117.0263	101.6492	130.3283	117.5933	119.0701	108.6742	109.5483	119.1899	113.7851	119.1056	118.4689
7898805	104.8258	90.5218	98.6639	101.4874	107.1841	96.0545	96.7136	108.7538	103.6498	97.4297	99.5508	108.1876
7898809	1407.4169	1336.3363	1646.3512	1430.9427	1431.0447	1385.7716	1604.4236	1303.1195	1376.4662	1394.0236	1680.9448	1532.8774
7898833	664.903	648.7615	650.208	640.7157	664.5474	616.0485	653.8443	620.8181	722.0413	661.3627	579.3278	610.0994
7898854	38.6116	35.472	40.3574	38.1537	40.09	37.9974	47.0469	45.0727	37.6696	41.1381	35.6107	39.7165
7898856	174.4483	192.6747	174.8891	204.4233	152.5267	162.1947	174.2483	143.2797	172.9266	186.2837	174.0594	179.7954
7898858	88.465	91.9143	85.787	93.222	85.5901	85.2115	74.9001	91.7284	83.7561	87.5173	90.4228	89.9288
7898869	133.2383	134.4109	136.7856	123.9117	140.6161	133.5875	126.3698	157.796	133.4003	130.1838	144.8791	147.5472
7898875	1995.5834	1944.25	1822.0435	1850.0538	2030.2001	1966.1881	2319.9265	2052.2974	2355.9448	2265.751	2149.269	2059.8142
7898881	618.8243	663.8148	888.998	598.6845	617.0878	672.7352	844.5039	551.2443	650.54	720.4628	844.0691	656.2437
7898894	365.3664	343.3012	479.0032	350.5845	361.0141	389.9267	476.8447	336.6132	244.4563	350.4724	416.156	314.4927
7898902	886.0299	874.7411	973.75	966.5208	1022.0972	943.887	1058.7705	1040.6317	1158.928	995.9365	1160.2463	1206.5079
7898910	2192.0886	2309.4434	3487.8203	2189.6877	2032.1276	2032.666	3245.4548	1921.5684	1451.2224	2208.655	3448.2588	2080.8303
7898916	82.3516	83.8115	85.4535	82.9082	88.0652	79.5854	79.4495	82.2515	88.835	83.6418	78.265	91.8799
7898939	620.968	594.8332	619.8789	610.9664	486.2158	529.2209	583.137	460.7689	564.2855	550.3632	561.2632	468.5465
7898957	476.9331	477.4367	541.1306	526.0623	537.5252	530.954	597.7639	505.5396	507.8016	457.034	495.1112	490.9583
7898967	92.2642	100.0323	85.7685	96.0865	99.1078	96.3645	89.9516	99.0944	93.0234	90.1545	98.7608	103.9754
7898975	980.2372	903.0001	660.4653	893.468	1195.7407	1086.4694	794.0658	997.0928	1124.6277	1035.0315	771.4615	1205.5088
7898988	4527.8267	4454.071	4703.7075	4393.6665	4496.983	4491.832	4622.79	4474.905	4273.2583	4572.786	4748.8086	4205.9595
7898998	63.2358	68.7462	65.8353	68.8652	69.3663	65.485	59.9051	78.897	72.1968	65.6488	68.9702	65.1482
7899005	5804.492	5568.732	5893.961	5988.2734	5167.249	5129.6714	5184.2075	5264.439	5427.073	5412.9487	5533.3433	5880.862
7899016	2849.0974	2517.9272	2957.8435	2927.5933	2597.0085	2718.5122	3127.3499	2916.4268	3080.3281	2997.7007	3391.573	3287.6792
7899018	524.394	473.819	457.4917	441.178	437.5488	436.1006	509.8668	400.5973	433.1223	457.0064	476.7278	401.4418
7899023	471.5088	478.2925	534.8085	501.2703	503.8317	520.2935	554.0001	500.1968	472.9165	488.5237	579.9362	513.1747
7899029	142.7651	141.8967	135.5751	139.0738	139.8958	145.6365	134.6112	136.7144	144.112	139.1931	128.85	152.0985
7899043	1123.9858	1162.6967	1078.7328	1211.1079	1282.7694	1306.0062	1203.7833	1250.5566	1260.856	1220.8424	1195.4171	1251.4628
7899057	497.6679	428.118	555.8315	507.3951	479.8831	491.2371	587.0981	492.031	484.3647	515.9097	533.743	513.0075
7899069	39.5524	38.9578	39.9859	40.9322	38.0693	40.2869	45.0662	39.6023	41.0781	40.7279	39.5903	42.4742
7899071	131.5215	132.6478	127.1961	143.9971	152.6884	169.2794	164.8021	182.2647	183.2057	149.0756	179.0552	190.0755
7899073	28.4809	35.4471	29.4066	33.8285	33.012	35.4117	30.9826	33.2773	32.7177	31.0319	30.1291	37.0182
7899075	118.8453	125.7334	128.6877	119.2675	131.4825	129.9251	130.2339	132.1598	145.8228	117.448	120.7179	133.8173
7899087	151.798	139.8888	111.3953	188.4356	147.3661	146.4847	119.2647	162.5393	162.5328	143.2174	125.8049	185.8059
7899093	297.1629	294.4028	324.2758	292.6177	335.9551	312.1054	290.0328	313.5752	321.7123	298.2159	294.6285	324.6936
7899096	317.9626	309.6258	350.4878	315.2429	330.5979	342.8126	428.7469	296.5282	351.941	396.143	381.9027	311.1753
7899101	214.6627	220.435	190.1961	222.8859	237.9622	258.0548	223.9195	238.1354	224.6192	249.032	205.4549	240.212
7899124	67.1555	77.5853	65.2718	77.2422	72.6877	69.172	74.7116	83.3822	70.847	69.5872	67.6425	79.0656
7899134	228.8613	217.7404	240.4293	238.5284	235.0018	235.1769	232.1444	243.733	246.7959	232.4018	233.2765	223.5589
7899151	26.6076	28.2886	25.9168	27.8359	25.2663	29.7975	28.2327	29.7864	28.236	27.3786	26.2505	28.0131
7899153	584.1167	561.8633	624.0218	622.1325	656.3364	671.3895	667.9164	659.157	656.546	613.2159	630.7175	617.9177
7899160	127.554	155.6174	125.9753	160.1083	157.0065	148.3956	145.7595	171.7652	146.1369	162.2755	152.916	164.133
7899167	102.8351	136.0439	106.3176	120.6472	110.4205	107.7763	112.0983	125.6496	130.904	97.5987	120.2761	124.8676
7899173	805.2618	790.18	969.108	781.5707	731.7792	767.9605	962.7965	706.4973	690.5276	709.4912	957.0945	684.3392
7899187	4569.6367	3810.074	4810.5747	4831.7007	4230.482	4265.1694	3936.684	4400.2866	3680.5427	4210.843	2846.8472	4054.2595
7899192	483.5286	489.1842	489.8015	533.0173	518.7382	520.3372	526.3065	503.0098	527.6952	490.8076	521.2291	584.4698
7899220	1592.7715	1525.1113	1854.0725	1726.5696	1739.911	1741.1627	1990.1433	1794.5089	1786.6927	1652.9506	2025.0419	1727.8591
7899244	1610.4368	1479.626	1379.7662	1684.3105	1449.8086	1391.4653	1349.4615	1463.2417	1152.0359	1546.9269	1537.2948	1467.937
7899251	40.262	40.0884	35.5922	34.8329	36.7861	40.1064	39.9291	34.5616	41.1307	42.1071	40.1005	42.0946
7899253	957.2538	958.0318	1170.0669	1287.0732	969.2195	1091.403	1324.2125	1313.274	1103.8357	990.2191	1265.6288	1342.6844
7899265	1661.3191	1597.1376	2104.1565	1643.4526	1675.0945	1518.5894	2330.1165	1520.7891	2461.7942	1778.6871	2366.524	1735.1508
7899273	1694.8801	1663.8475	1703.7441	1576.6663	1496.8564	1604.3522	1671.9849	1482.5837	1718.2405	1850.0199	1595.6655	1624.4346
7899284	357.6888	368.7993	400.5915	380.0757	401.0333	365.8068	436.813	421.9331	374.5728	348.462	391.5066	378.9118
7899287	494.9763	520.3718	525.6209	475.5725	539.9388	543.9286	550.5689	632.0228	560.9129	485.8293	572.4016	556.3453
7899289	819.8899	834.2843	731.4618	936.2028	866.7827	855.0983	802.7916	870.8055	845.0867	764.0764	721.3756	792.6907
7899310	1199.9908	1101.7897	776.4755	1229.2301	1141.7666	1207.7039	786.7791	1168.9559	972.6022	1134.6592	691.2548	1077.956
7899323	168.8984	166.9971	153.7218	156.622	168.2222	166.4882	173.641	175.9932	172.3681	147.3768	164.3173	172.9071
7899343	836.6776	749.7448	967.3304	880.4474	796.9854	849.6205	1060.0652	968.3667	776.3402	761.926	894.1561	913.1801
7899346	2621.4033	2393.0166	2467.6296	2665.35	2970.1536	2772.836	2651.2893	2981.5625	3058.33	3160.3425	2492.875	3531.5562
7899348	126.5096	116.0379	121.4125	123.5616	115.3006	122.9479	126.2638	114.0484	137.9371	133.6578	137.8485	127.9452
7899350	398.8648	367.5877	436.8152	450.2714	435.838	412.2026	503.8304	484.3152	382.0255	423.0584	433.5974	417.9591
7899361	1023.0148	1016.062	1108.8168	1036.1011	1078.6056	1112.8298	1223.4695	1022.183	1073.6	1135.7216	1255.8751	1165.8763
7899375	29.9642	30.8335	27.8385	28.0341	27.2355	27.7205	26.5061	28.3003	34.2867	30.1495	31.2636	32.1669
7899377	1321.7891	1347.6821	1464.7933	1420.9069	1319.439	1415.6409	1377.2354	1265.125	1173.5692	1305.5406	1346.3148	1318.8756
7899392	188.2086	231.7433	152.7076	235.4459	207.9442	217.601	180.0079	182.7228	179.4623	238.0913	171.2595	205.2285
7899394	492.0508	460.255	577.5205	547.0595	514.5112	511.2139	588.2839	579.8095	577.2106	508.2684	656.7776	529.7225
7899407	261.2905	197.6221	128.7327	241.4025	254.6543	250.5071	152.1992	232.5728	239.0273	239.408	127.2364	200.7056
7899417	826.0479	770.631	1150.2853	929.5957	863.9143	894.526	1140.3306	878.8734	848.0004	830.5067	1044.9241	920.0479
7899422	142.233	144.2365	145.8664	121.6213	196.3079	167.2342	183.8202	173.6213	164.3644	177.4474	204.8623	188.4275
7899424	519.6669	518.7637	517.2724	577.7358	510.786	468.7691	532.0431	505.6827	523.2715	483.9355	510.5865	581.2757
7899436	781.03	759.6961	1390.928	820.0318	867.8199	896.9586	1532.2649	810.4318	254.4475	843.331	1575.9072	891.9733
7899448	148.9695	142.1852	168.4677	145.5785	123.7783	128.0028	166.1228	122.3103	126.208	145.5954	153.0639	133.9967
7899455	1710.3282	1858.129	1897.7087	1891.5889	1963.5665	2032.2009	2210.5894	2192.0613	1856.1367	1634.6794	1954.4204	1876.6406
7899462	578.9949	552.6426	503.9649	528.7821	553.8596	575.4305	469.26	493.3308	631.5726	563.4109	546.5665	533.2463
7899480	4522.9854	3426.6304	4601.6377	5111.2915	4475.418	4515.0615	5127.88	4864.037	7927.8877	7733.4062	5894.07	6138.9507
7899484	88.0916	134.6216	81.3751	65.3206	85.7105	119.1165	97.8666	96.4389	160.828	108.6297	58.5191	71.9843
7899486	535.4616	568.8932	572.096	611.2233	600.5031	576.3577	534.8294	631.9349	576.5233	533.14	517.7412	567.8402
7899499	91.5189	77.4195	91.7557	87.2533	73.1388	98.3705	88.7387	89.9337	100.6092	83.3162	104.5728	74.0628
7899502	189.8324	200.446	261.4755	212.825	206.4555	188.5136	291.271	209.118	218.4337	240.4079	352.5098	230.9426
7899504	735.8433	726.536	782.9592	689.9304	629.1586	695.4103	782.4123	617.2929	553.5042	765.4797	759.9351	630.5285
7899517	30.5696	26.2091	26.244	28.0488	25.9182	25.232	27.1767	28.8197	25.8657	25.8554	26.2244	26.6709
7899519	1152.878	1128.5928	965.066	1023.4363	1073.6797	1192.5616	960.3275	984.5972	1093.1033	1147.8944	777.41	1058.8408
7899528	203.771	222.4136	203.9701	195.8913	216.8869	203.6169	183.0387	191.5982	211.3567	178.8837	212.8342	232.7392
7899534	365.304	290.8502	512.1786	344.8799	363.5579	350.9892	509.9095	318.5036	357.0615	347.3711	563.9587	335.513
7899560	113.7867	130.2966	115.1787	111.2958	136.1957	119.1964	116.3498	148.2018	133.3697	111.8357	117.4864	137.5529
7899562	526.678	517.4	423.02	708.7159	619.1751	608.0075	464.4127	706.3434	580.2528	547.9051	459.3447	708.8112
7899595	131.8435	120.2091	134.7073	129.5342	121.9982	132.0867	124.2248	142.4854	137.5734	139.1715	160.2473	147.5646
7899600	123.6912	128.5773	113.4939	108.8009	127.4695	144.2141	111.9065	146.5827	152.4031	113.2547	127.9542	138.4545
7899602	64.5264	56.5612	53.8274	67.3984	61.26	58.8261	65.4946	58.7472	60.9368	59.8009	59.0888	61.4412
7899604	449.9996	442.492	524.63	495.0951	410.0603	451.1521	510.6296	474.6408	399.4717	444.1643	474.7408	415.5116
7899615	4993.0776	4516.2188	4941.453	5339.673	4800.7754	4922.8486	4970.107	5177.8706	5149.7866	4892.379	5136.281	5529.373
7899627	1585.8451	1531.0817	2036.2606	1872.1764	1618.5487	1661.1765	2130.0007	1876.2692	1690.5963	1702.0983	2315.1934	2019.3275
7899643	119.5622	120.327	131.6975	124.8994	126.8805	126.486	123.6615	126.3944	131.2532	114.6853	126.8034	143.5567
7899654	1040.5383	1032.2915	1001.4072	1071.5829	1053.128	980.3175	933.2015	1030.6267	1158.8252	1107.1053	1021.5068	1027.9749
7899675	371.9544	333.7255	353.2535	409.3043	355.981	355.3086	390.1028	352.5512	340.0232	357.9756	355.8666	353.0049
7899688	3390.451	3334.6519	3694.172	3482.1355	3150.97	3355.2092	3478.705	3083.1572	3567.4026	3407.563	3408.2917	3160.914
7899703	959.497	974.9226	917.39	1004.9376	957.1399	930.3007	951.0319	926.0545	929.4309	1034.5115	977.1584	1034.5203
7899719	107.8198	103.5086	115.8155	107.5112	110.0824	106.8027	110.9904	131.3753	130.4458	115.0481	107.2144	129.442
7899727	185.9624	186.4799	208.8061	208.2396	189.2934	202.91	208.131	236.4452	188.4218	202.606	222.9055	234.0606
7899737	3822.6047	3663.3286	3519.1775	3594.652	3483.476	3488.8164	3564.073	3346.2727	3796.9746	3854.2903	3333.373	3533.3135
7899750	123.8515	144.4451	112.2834	126.5103	129.2581	137.2112	126.1896	121.3308	135.6252	120.894	149.0256	145.3502
7899753	131.1601	128.3133	127.07	137.2566	137.8123	126.719	123.5237	156.1051	136.9912	121.07	132.0607	144.1654
7899774	2749.7092	2661.4736	2733.844	3006.8445	2346.8103	2422.5981	2474.0703	2595.929	2600.3274	2515.5881	2393.6938	2535.828
7899790	110.4472	129.5985	116.8414	128.6612	115.8945	124.3751	113.0508	145.1429	125.38	126.7253	115.9731	136.5345
7899795	198.0087	157.5989	200.0931	183.4466	173.9127	174.1011	178.379	168.456	169.0358	174.3972	199.7234	172.8014
7899797	441.5736	408.5456	461.7099	428.6634	446.6582	444.1708	448.3083	430.6409	494.737	440.2257	468.1154	440.5612
7899811	23.0966	22.9212	23.541	23.0821	23.3088	23.2181	22.8691	23.2786	23.2728	23.1213	22.9813	22.9264
7899813	3628.8367	3658.2327	3260.2637	3502.6753	3793.4272	3904.889	3408.2737	3691.5544	3733.2393	3466.1636	3248.68	3541.265
7899821	464.0924	408.3811	308.6074	602.3812	469.8443	471.4058	356.2571	599.5456	565.8836	485.2557	277.1837	638.5535
7899829	511.7694	504.0672	496.801	496.8824	455.9153	454.4699	489.0588	474.7633	463.7913	451.6429	490.5145	452.7524
7899841	139.6129	146.0316	122.8419	143.6289	142.2517	138.4798	134.4217	137.9211	133.8308	151.138	138.8803	145.0174
7899849	375.6705	382.2913	454.4722	377.8643	446.6608	396.3911	440.1525	498.1648	393.6332	385.9044	382.0371	415.547
7899851	305.7242	319.6341	258.0369	359.6018	279.7487	299.3671	253.1256	353.0806	300.5018	252.5301	247.9717	341.2576
7899870	855.9646	819.492	698.2239	1065.9973	1047.902	934.9172	800.84	1139.5846	1001.5252	855.5145	725.6503	1084.1735
7899882	79.416	84.2443	87.8597	91.2791	72.1027	77.5713	72.9823	89.892	76.1918	71.1286	81.4566	81.9832
7899884	160.7127	154.5046	160.0949	156.1021	137.1905	150.6878	164.3226	161.4486	158.5145	150.5751	148.4805	149.822
7899898	42.9691	40.0415	37.7476	41.3741	43.633	43.7577	40.9809	43.0591	42.2395	42.6924	43.2138	43.8719
7899905	54.4365	49.1511	48.5208	50.8472	57.9033	55.7374	51.3235	55.0874	53.4352	54.3853	53.4637	58.484
7899909	216.8265	198.5628	194.906	173.1301	159.7351	155.5321	201.917	166.3757	175.4195	275.4374	218.5096	190.0076
7899911	78.7003	80.3382	71.4031	75.1031	86.6601	93.6937	78.5372	95.5844	81.3554	78.9071	87.6784	83.1126
7899921	111.759	122.0018	106.9862	103.226	117.4824	110.0162	104.7412	102.9437	104.9987	93.4165	128.2883	112.8791
7899927	111.0948	115.1491	126.1564	114.3582	116.2202	116.077	126.8134	120.8146	124.859	117.2141	124.9845	127.2061
7899932	107.271	101.3346	143.0258	98.8148	110.0309	122.9211	151.7995	83.1441	129.19	115.2773	130.9963	103.4424
7899939	158.7717	180.6459	148.8045	165.9479	167.0918	165.1958	169.7293	178.4105	160.3167	155.7436	182.1598	184.7417
7899943	431.422	447.8438	438.3951	407.2777	408.8727	445.0619	440.0275	425.2401	470.9641	445.046	410.4551	417.9415
7899955	2006.9324	2054.0156	1809.8939	1868.5259	1893.2684	1672.2684	1489.5767	2082.0986	1613.3885	1401.4575	1358.6168	1561.173
7899957	1929.8647	2018.7515	1602.2515	1913.8623	1942.0347	2065.9749	1633.844	1797.4612	1827.577	1920.8303	1556.0885	1804.6414
7899988	26.4746	25.6291	26.085	24.7046	24.7354	25.2311	23.7856	24.5763	24.8987	24.5235	24.2622	24.8419
7899990	734.9041	726.4952	696.3738	720.3934	710.1635	769.498	676.7942	719.8195	651.5997	786.3666	736.3788	756.46
7900001	391.3051	386.0578	359.9675	366.0372	406.1534	392.3385	382.9616	438.3286	417.5798	338.0559	401.0641	416.9996
7900009	256.8515	289.7737	259.0671	274.7632	247.6673	278.1383	282.0153	265.4547	260.1569	238.8147	263.6068	246.8706
7900030	1079.7926	1003.5533	1161.3883	1218.0342	1045.8577	1061.4637	1181.386	1032.3655	1093.3531	1064.9852	1113.0509	1098.712
7900051	765.9708	817.9924	765.5208	710.561	698.7549	777.9755	813.0692	695.1337	700.3636	758.159	771.8706	611.4243
7900076	94.2063	105.1535	103.3165	102.7456	119.2305	109.0717	114.8008	121.0275	111.877	107.6607	116.7557	134.95
7900087	303.4345	329.2694	366.8545	313.6716	333.9688	338.0644	383.8778	237.8545	353.0661	333.8179	414.9316	322.8573
7900095	742.8439	686.9114	767.2629	758.003	745.9008	777.7519	813.5214	753.3345	747.0037	747.8198	790.095	791.4241
7900119	1226.1783	1220.8336	1082.1566	1240.226	1178.513	1205.9658	1083.0098	1152.7142	1084.8282	1210.7051	1091.5792	1113.5348
7900129	181.5375	211.9845	221.1498	210.2756	201.827	203.1235	218.8536	206.2752	230.7513	222.0125	215.09	211.2959
7900144	27.7068	26.4841	29.4201	26.8061	28.4416	29.0922	31.3545	30.1992	28.9092	30.5868	30.3872	28.9763
7900146	1170.1989	905.3638	946.9884	1067.3218	1066.1536	925.5518	998.4271	1161.6722	1438.969	1148.264	1084.9816	1061.501
7900157	3735.545	3541.2974	4266.293	3793.7668	3759.0015	3966.2158	4377.0645	3847.4788	4038.3784	3842.533	3926.716	4010.5376
7900159	86.2195	80.8125	81.1734	85.809	80.3088	78.825	81.8299	83.1293	79.7856	74.4624	81.0518	84.8784
7900167	1179.9524	1208.0576	1533.4612	1164.2365	1371.8068	1249.8126	1739.7686	1154.3624	1158.5842	1330.8552	1502.3278	1282.8146
7900181	29.961	29.6542	32.3664	33.3088	29.961	31.4835	31.928	30.4306	31.2606	31.959	34.2096	31.4048
7900183	347.7448	320.8166	402.3359	373.711	361.3278	349.3958	392.7226	384.4909	413.072	409.7962	452.9984	433.474
7900192	445.9428	466.3814	475.8785	477.8114	451.0026	471.7452	496.5411	485.6684	485.6203	476.7326	489.4761	512.7277
7900197	39.298	35.5377	36.689	32.8457	34.858	35.8969	35.6446	39.1584	37.7285	33.1963	36.4431	36.071
7900201	806.4799	822.3162	934.7222	744.909	784.0667	808.5042	903.2722	728.179	909.2979	957.3091	842.0348	901.738
7900212	26.0869	26.6774	25.8802	25.2281	26.0368	27.9648	25.6957	25.36	26.2185	25.7221	27.4448	26.7284
7900214	26.1051	27.0589	27.429	26.5768	29.1828	28.6666	27.5585	25.7491	27.414	28.1032	28.1002	26.7526
7900216	1059.7692	1088.5653	1265.832	889.0701	1073.233	1079.6984	1331.9534	823.535	1111.6045	1118.2993	1275.0048	903.1185
7900228	6294.969	5977.139	6217.8877	6276.4185	5891.774	6380.6616	6872.4453	6702.9136	6042.8086	6318.8643	5833.985	6298.947
7900235	1130.9009	1121.5306	1016.1572	1092.0664	1093.9103	1107.9662	1007.7166	1025.0411	1218.2377	1148.3427	1087.1609	1066.2827
7900336	194.7741	230.1958	175.1731	192.663	173.6775	176.9245	106.0194	172.0869	237.4054	165.624	116.4598	182.1145
7900340	93.9837	111.6449	99.9846	109.5681	102.489	120.6477	106.3575	111.2441	118.369	107.5853	110.3273	117.5037
7900350	30.7666	31.1078	28.947	26.6915	36.614	34.902	32.9055	31.3392	30.6538	31.207	33.6276	32.0031
7900352	211.2357	224.9927	204.7645	200.4127	217.265	198.3803	190.0001	223.9613	204.4945	178.7187	206.9321	217.9852
7900354	398.9253	366.0342	377.6342	394.4683	352.7405	384.8603	372.8141	376.2025	329.6989	392.7032	334.0991	367.6254
7900365	410.4183	423.9881	438.4817	341.2064	430.4861	421.4718	434.4692	340.0504	534.1758	532.0018	444.5817	380.8701
7900382	4567.4214	4746.6597	4718.736	4768.3364	4497.5225	4514.782	4454.684	4403.215	5050.049	4972.3374	4995.592	5182.018
7900395	1480.4845	1523.4194	1619.3975	1360.7913	1552.819	1495.5874	1692.2997	1407.3	1670.9617	1378.874	1549.086	1174.6969
7900405	37.7428	38.8065	38.7588	35.7961	34.2309	37.1296	38.8852	34.2195	40.6898	37.6631	33.9307	36.2544
7900407	32.6125	30.97	32.959	31.0984	32.5827	32.4831	33.7618	31.2641	38.8653	33.7603	30.4436	30.5145
7900409	51.282	50.4165	49.9723	49.2182	60.7388	54.0579	52.0943	56.8981	58.5954	56.1589	55.9448	58.0631
7900413	2779.1633	2799.5383	1716.5468	2742.3696	2248.1938	2326.7642	1468.1934	2345.6475	2222.8442	2247.3042	1282.7393	2449.9705
7900426	603.0979	567.4985	957.6975	545.2567	613.2144	569.5654	931.4456	515.3308	514.082	589.1316	926.8153	620.366
7900438	276.035	248.2509	383.1846	207.845	283.778	259.8454	339.2259	196.8256	195.43	315.777	434.8423	257.195
7900446	150.3921	165.6967	195.5003	173.6502	186.4036	163.8119	201.6476	158.4149	153.086	161.4011	185.753	144.1105
7900454	340.2054	335.3713	393.201	361.3392	310.0978	323.7912	380.6861	322.8378	273.0649	363.4194	321.5342	359.9245
7900461	69.4807	70.8374	79.3228	71.6031	67.7672	69.0312	78.0942	70.4557	78.6516	77.6847	75.3554	85.8181
7900468	939.7291	1031.5193	1107.539	978.7017	1024.2571	1002.7455	1203.924	985.0148	709.6425	858.8898	1081.8303	907.2053
7900488	65.168	85.3043	81.214	68.2901	73.563	85.7696	82.0815	90.5377	98.5117	90.723	80.0715	83.8289
7900490	42.3503	44.9521	39.9918	41.5462	41.5193	41.6589	36.9259	51.3581	43.8603	39.9229	40.9718	45.2388
7900492	106.1181	118.5067	112.0644	104.6877	125.1421	131.3935	136.2141	112.2059	128.8065	118.3694	128.0078	133.0744
7900508	83.0064	76.1418	72.5049	72.9433	75.3886	75.5355	62.6148	81.069	63.1789	71.9521	87.35	69.9458
7900510	972.742	934.9785	899.6782	830.4932	830.0776	839.8241	816.7332	719.7451	821.5235	857.7973	766.7897	772.1015
7900531	182.8293	176.7181	179.7895	181.1465	201.5513	183.9584	171.0776	203.6558	191.8975	168.9445	186.1139	208.4379
7900538	278.6726	284.4125	302.2884	264.7799	268.3395	240.3917	235.235	306.1955	268.363	234.6268	234.7707	293.9446
7900540	149.0845	137.1787	152.7958	136.1037	143.6088	143.4197	133.6893	148.4015	153.3786	141.545	156.3002	138.3247
7900546	724.731	729.4494	798.7489	674.7548	710.1438	706.191	720.541	687.3746	657.8026	727.6091	845.9279	725.4692
7900555	50.2163	41.0528	46.3156	43.8554	47.2549	47.2714	47.5576	48.6817	44.0013	47.2993	44.381	46.3787
7900576	559.9919	566.8441	542.491	513.9928	498.5583	495.6103	518.2051	498.7028	587.132	587.2536	464.1591	521.2545
7900585	8029.0664	7683.913	8542.564	7792.148	7898.148	7929.305	8452.874	7845.305	8162.622	8099.2437	8143.425	8069.0728
7900597	192.4689	195.3091	258.1379	213.6575	210.1516	202.8399	254.7159	191.0515	207.7307	214.5091	265.4469	217.1768
